mainParentCategoryId,shopId,shopType,shopName,branchName,phoneNo,phoneNo2,cityId,shopGroupId,altName,businessHours,score,avgPrice,score4,defaultReviewCount,shopPower,code,dishTagStrList,tag
120,74951076,20,ME&CITY,丰台万达广场店,63701306,,2,74951076,,"周一至周日
10:00-22:00","产品:7.1,环境:7.2,服务:6.8",0,0,5,35,200,,
210,97661211,10,喵巷甜品,,15810507269,,2,97661211,,"周一至周日
09:30-21:00","口味:7.1,环境:7.1,服务:7.1",0,0,1,35,200,,
197,98961587,80,途牛旅游,丰科万达营业部,63731130,,2,98961587,,"周一至周日
10:00-22:00","产品:7.6,服务:7.6,划算:7.6",0,0,1,35,200,,
235,74617593,85,保兴平价大药房,丰台万达广场店,63725144,,2,2923681,,"周一至周日
09:00-22:00",,0,0,14,20,200,,
2814,74618411,55,BLOVE婚戒定制中心,丰科万达店,4000908610-209416,,2,74618411,,"周一至周日
10:00-21:30",,0,0,4,40,200,,
241,74952838,10,冰雪公园,丰台万达广场店,13623630669,,2,74952838,,"周一至周日
10:00-21:00","口味:7.2,环境:7.2,服务:7.1",16,0,38,35,200,,"味道赞:6,服务热情:6,饮品赞:5,价格实惠:5,性价比高:4"
120,75008884,20,MO&Co.,丰台万达广场店,,,2,75008884,摩安珂,"周一至周日
10:00-22:00","产品:7.1,环境:7.1,服务:7.2",0,0,3,35,200,,
33943,74618243,20,松山棉店,丰科万达广场店,,,2,74618243,,"周一至周日
10:00-22:00","产品:7.4,环境:7.3,服务:7.3",0,0,5,35,200,,
1833,74953043,10,VQ鲜榨果汁,北京丰科万达店,18811363584,,2,74953043,,"周一至周日
10:00-22:00","口味:7.4,环境:7.4,服务:7.3",20,0,23,35,200,,"味道赞:4,菜品健康:3"
33760,95037639,20,吴裕泰,丰台万达广场店,83690906,4006101887,2,95037639,,"周一至周日
09:00-22:00","产品:7.8,环境:7.8,服务:7.8",0,0,5,40,200,,
121,74952011,20,asics,丰台万达广场店,4008210893,,2,74952011,亚瑟士|爱世克斯,"周一至周日
10:00-22:00","产品:6.4,环境:7.7,服务:6.4",0,0,3,30,200,,
33760,97494791,20,小罐茶,丰台万达广场店,18600581492,,2,97494791,,"周一至周日
10:00-22:00","产品:7.7,环境:7.7,服务:7.6",0,0,3,35,200,,
120,75008703,20,TOMMYHILFIGER,丰台万达广场店,4000198500,,2,75008703,汤米·希尔费格,"周一至周日
10:00-22:00","产品:7.2,环境:7.2,服务:7.2",0,0,2,35,200,,
1833,74952536,10,鲜果时间,丰台万达广场店,15801621005,,2,74952536,,"周一至周日
10:00-22:00","口味:7.4,环境:7.3,服务:7.2",17,0,53,35,200,,"饮品赞:5,味道赞:5,服务热情:5"
33943,74665767,20,海澜之家,丰科万达广场店,4008922001,,2,74665767,HLA,"周一至周日
10:00-22:00","产品:7.5,环境:7.5,服务:7.5",0,0,10,35,200,,"款式丰富:5,价格实惠:4,服务热情:3"
1833,75008111,10,鲜果时间,丰台万达广场店,15801621005,,2,75008111,,"周一至周日
10:00-22:00","口味:7.1,环境:7.0,服务:7.1",11,0,14,35,200,,味道赞:3
122,74618180,20,流行美,丰科万达广场店,18500858575,,2,74618180,,"周一至周日
10:00-22:00","产品:7.5,环境:7.8,服务:7.8",0,0,4,40,200,,
